,pos_east,pos_north,width,depth,height,azimuth
0,258.52,-69.5138,85.3883,7.55906,2.5,3.141592653589793
1,345.32,-98.5544,42.6935,7.55906,2.5,3.141592653589793
2,345.32,-113.015,42.6935,7.55906,2.5,3.141592653589793
3,171.917,-98.0479,85.3883,7.55906,2.5,3.141592653589793
4,171.917,-112.573,85.3883,7.55906,2.5,3.141592653589793
5,171.917,-127.097,85.3883,7.55906,2.5,3.141592653589793
6,171.917,-141.622,85.3883,7.55906,2.5,3.141592653589793
7,171.917,-156.147,85.3883,7.55906,2.5,3.141592653589793
8,171.917,-170.671,85.3883,7.55906,2.5,3.141592653589793
9,171.917,-185.196,85.3883,7.55906,2.5,3.141592653589793
10,171.917,-199.721,85.3883,7.55906,2.5,3.141592653589793
11,345.282,-127.382,85.3883,7.55906,2.5,3.141592653589793
12,450.615,-199.826,85.3883,7.55906,2.5,3.141592653589793
13,625.141,-315.587,42.6935,7.55906,2.5,3.141592653589793
14,537.527,-243.295,42.6935,7.55906,2.5,3.141592653589793
15,849.72,-466.982,42.6935,7.55906,2.5,3.141592653589793
16,850.13,-568.148,42.6935,7.55906,2.5,3.141592653589793
17,763.014,-640.513,42.6935,22.0181,2.5,3.141592653589793
18,213.983,-214.124,42.6935,7.55906,2.5,3.141592653589793
19,213.983,-228.777,42.6935,7.55906,2.5,3.141592653589793
20,213.983,-243.431,42.6935,7.55906,2.5,3.141592653589793
21,213.983,-258.085,42.6935,7.55906,2.5,3.141592653589793
22,300.461,-344.318,42.6935,7.55906,2.5,3.141592653589793
23,538.0350000000001,-272.179,85.3883,7.55906,2.5,3.141592653589793
24,306.56,-423.216,85.3883,7.55906,2.5,3.141592653589793
25,393.645,-423.211,85.3883,7.55906,2.5,3.141592653589793
26,480.783,-423.223,85.3883,7.55906,2.5,3.141592653589793
27,588.952,-423.536,85.3883,7.55906,2.5,3.141592653589793
28,675.993,-423.547,85.3883,7.55906,2.5,3.141592653589793
29,762.937,-423.533,85.3883,7.55906,2.5,3.141592653589793
30,849.869,-495.774,85.3883,7.55906,2.5,3.141592653589793
31,258.52,-83.9818,85.3883,7.55906,2.5,3.141592653589793
32,258.52,-98.4498,85.3883,7.55906,2.5,3.141592653589793
33,258.52,-112.918,85.3883,7.55906,2.5,3.141592653589793
34,258.52,-127.386,85.3883,7.55906,2.5,3.141592653589793
35,258.52,-141.854,85.3883,7.55906,2.5,3.141592653589793
36,258.52,-156.322,85.3883,7.55906,2.5,3.141592653589793
37,258.52,-170.79,85.3883,7.55906,2.5,3.141592653589793
38,258.52,-185.258,85.3883,7.55906,2.5,3.141592653589793
39,258.52,-199.726,85.3883,7.55906,2.5,3.141592653589793
40,258.52,-214.194,85.3883,7.55906,2.5,3.141592653589793
41,258.52,-228.662,85.3883,7.55906,2.5,3.141592653589793
42,258.52,-243.13,85.3883,7.55906,2.5,3.141592653589793
43,258.52,-257.598,85.3883,7.55906,2.5,3.141592653589793
44,258.52,-272.066,85.3883,7.55906,2.5,3.141592653589793
45,258.52,-286.534,85.3883,7.55906,2.5,3.141592653589793
46,258.52,-301.002,85.3883,7.55906,2.5,3.141592653589793
