time,elevation,azimuth,dni,dhi,ghi
2024-10-26 05:30:00,0.0327575038353564,1.887756827340228,50.391224043932354,2.506811031447973,4.15720654877909
2024-10-26 05:45:00,0.07729302931072174,1.9313248345028462,196.26689389420787,11.003224713866235,26.158187144883243
2024-10-26 06:00:00,0.1223255290567867,1.9758611569430278,346.0077517528191,20.026553817397257,62.246657335339805
2024-10-26 06:15:00,0.16692033458577105,2.021549663521371,464.78699318539134,27.661486601422553,104.88411662995506
2024-10-26 06:30:00,0.21071011745118967,2.06857467836938,554.89536561893,33.99555374441793,150.05434105383708
2024-10-26 06:45:00,0.25347006420190177,2.1171205091047773,623.631364877835,39.34880446769421,195.73350620827364
2024-10-26 07:00:00,0.295015615786337,2.167370158701252,676.9392953192214,43.969969092503305,240.793312629884
2024-10-26 07:15:00,0.3351708545513223,2.2195030031612126,719.0009822023231,48.0255269981628,284.5268953020629
2024-10-26 07:30:00,0.3737565396674486,2.273691250230125,752.692495079807,51.62411479782605,326.443583346413
2024-10-26 07:45:00,0.41058500313576846,2.3300949985460355,780.0091120657812,54.83684796584936,366.1741920849953
2024-10-26 08:00:00,0.4454580570926707,2.388855686730111,802.3592675828869,57.71070071292229,403.4242672378494
2024-10-26 08:15:00,0.47816670057681765,2.450087871876552,820.755866186923,60.27694196537891,437.9496194969627
2024-10-26 08:30:00,0.5084922815575349,2.5138694500541856,835.9399851076691,62.55646846819957,469.54291141100026
2024-10-26 08:45:00,0.536209050187513,2.5802306166187616,848.4617092580595,64.56323169607009,498.0260068379904
2024-10-26 09:00:00,0.5610881813740819,2.6491422843932084,858.73381809493,66.30648656106291,523.2454926341316
2024-10-26 09:15:00,0.5829033102753077,2.720505102128359,867.0680425343746,67.79229786364778,545.0700183097066
2024-10-26 09:30:00,0.6014374736044856,2.794140539620662,873.6999012148569,69.024566190678,563.3886853276614
2024-10-26 09:45:00,0.6164911930119791,2.8697858578002338,878.8058916279218,70.00573603730874,578.1100769639172
2024-10-26 10:00:00,0.6278911896903999,2.9470947785042467,882.5154258512158,70.73728729717493,589.1616835133808
2024-10-26 10:15:00,0.6354989690629246,3.0256451443220347,884.9190342144691,71.2200728494388,596.4895577827115
2024-10-26 10:30:00,0.6392183843195711,3.104954050941397,886.0738188705243,71.45454332276165,600.0581202715595
2024-10-26 10:45:00,0.63900126123927,3.1844996972209203,886.0067691864597,71.44088402095736,599.8500578648163
2024-10-26 11:00:00,0.6348503283373016,3.263747799590832,884.7162930457786,71.17907809087956,595.86627868665
2024-10-26 11:15:00,0.6268190465535131,3.3421795304496165,882.1721263153808,70.66890285772365,588.1259159325552
2024-10-26 11:30:00,0.6150083573899972,3.4193176012030304,878.3136092167993,69.90985858906475,576.66637609971
2024-10-26 11:45:00,0.59956080863535,3.4947474339824267,873.0461499916446,68.90102258331234,561.5434505610481
2024-10-26 12:00:00,0.5806528365614407,3.5681314979538272,866.2354950786147,67.64081321187399,542.8315263809303
2024-10-26 12:15:00,0.5584861183236363,3.639216195405719,857.6991546144518,66.12663674837478,520.6239453260285
2024-10-26 12:30:00,0.5332788983890381,3.707831808297872,847.1939573226218,64.35437527200986,495.033620343627
2024-10-26 12:45:00,0.5052580093553791,3.773886957788741,834.3981253760822,62.317648331909766,466.1940659110587
2024-10-26 13:00:00,0.4746520625774692,3.8373594041827186,818.8853462997176,60.006740931427885,434.26109291767864
2024-10-26 13:15:00,0.4416860833215754,3.898284907359733,800.0868737874533,57.407028305882704,399.41564022148367
2024-10-26 13:30:00,0.406577650790269,3.9567456573882773,777.2352948775339,54.49661813712919,361.8685327153911
2024-10-26 13:45:00,0.36953448484917134,4.012859363961641,749.2796733746306,51.24274683474846,321.86861349036536
2024-10-26 14:00:00,0.3307534487580554,4.066769610460263,714.755476902695,47.59616064047307,279.71709787033143
2024-10-26 14:15:00,0.29042101467238884,4.118637811893959,671.5832530085336,43.482212189235725,235.79386071146928
2024-10-26 14:30:00,0.24871559253731912,4.1686368602888075,616.7600822946731,38.78675478586038,190.60797083707007
2024-10-26 14:45:00,0.20581315486696075,4.216946322159186,545.9197926802202,33.3349551141924,144.90088220124514
2024-10-26 15:00:00,0.1619005044560142,4.263749036759613,452.8976690467051,26.867408129126204,99.87186184744931
2024-10-26 15:15:00,0.11721103131947636,4.309228928153813,330.406608489016,19.063137107648544,57.70182198135206
2024-10-26 15:30:00,0.07214371459694159,4.353569792019125,177.94906986383623,9.924188238271752,22.75096176938547
2024-10-26 15:45:00,0.02777061896224595,4.39695490096139,38.51078739197501,1.8332827870210198,2.902613731284312
