time,elevation,azimuth,dni,dhi,ghi,planar_tilt_1,planar_tilt_2,planar_tilt_3,planar_tilt_4,planar_tilt_5,planar_tilt_6,is_crop_1_shadowed,is_crop_2_shadowed,is_crop_3_shadowed,is_crop_4_shadowed,is_crop_5_shadowed,is_crop_6_shadowed,is_crop_7_shadowed,is_crop_8_shadowed,is_crop_9_shadowed,is_crop_10_shadowed,is_crop_11_shadowed,is_crop_12_shadowed,is_crop_13_shadowed,is_crop_14_shadowed,is_crop_15_shadowed,is_crop_16_shadowed,is_crop_17_shadowed,is_crop_18_shadowed,is_crop_19_shadowed,is_crop_20_shadowed,is_crop_21_shadowed,is_crop_22_shadowed,is_crop_23_shadowed,is_crop_24_shadowed,is_crop_25_shadowed,is_crop_26_shadowed,is_crop_27_shadowed,is_crop_28_shadowed,is_crop_29_shadowed,is_crop_30_shadowed,is_crop_31_shadowed,is_crop_32_shadowed
2024-10-26 08:00:00,0.44113839381806275,2.3932402870200424,781.937126905837,63.80020036335128,397.6632327839673,0.6338888796533811,0.6339018809078176,0.633897402114269,0.6338888796533769,0.6338888796533811,0.6338888796533811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 08:15:00,0.47346969137518763,2.4545838594276836,800.9375045779624,66.34035762309645,431.5494540711465,0.6375313887349257,0.6375313887349257,0.6375313887349257,0.6375313887349257,0.6375313887349257,0.6375313887349257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 08:30:00,0.503421528349986,2.5184248064345747,816.6337159416566,68.57699769244539,462.541844824685,0.6406517765485779,0.6406517765485779,0.6406517765485779,0.6406517765485779,0.6406517765485779,0.6406517765485779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 08:45:00,0.5307718472656671,2.5847873700758246,829.5851749045255,70.5313745818168,490.4666815130596,0.6433128629025011,0.6433128629025011,0.6433128629025011,0.6433128629025011,0.6433128629025011,0.6433128629025011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 09:00:00,0.5552962312395905,2.6536374315153184,840.2127336884497,72.21833057208755,515.1743197960903,0.6455568140661418,0.6455772105409278,0.6455780345851293,0.6455568140661477,0.6455772115018619,0.6455780229199246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 09:15:00,0.576773357065306,2.7248722045052096,848.8348236016076,73.64823736701942,536.5366449217742,0.6474260432788451,0.6053291040871988,0.6051937518843657,0.6474260432788451,0.6053291040764249,0.6051937518837247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 09:30:00,0.5949917739793807,2.7983120428245023,855.6923359079949,74.82831647300156,554.4455326007732,0.648945810736255,0.5284021242669805,0.5285160082945222,0.648945810736255,0.5284021232734407,0.5285160072262121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 09:45:00,0.6097577368065997,2.8736960765071413,860.9659088829047,75.76354892623272,568.811925438032,0.4765481248829566,0.47623798199041173,0.47634134291320845,0.476548124882328,0.4762379833790348,0.4763413429497897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 10:00:00,0.6209035903002439,2.9506833569403117,864.7879621179695,76.4573051721747,579.5652883894843,0.44146417312608116,0.44136659575507997,0.4412690397883818,0.4414641731174371,0.4413665961684023,0.4412690359606019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 10:15:00,0.6282959707524124,3.0288606627094943,867.2509798901511,76.91177666207506,586.6532840073339,0.4199665759386221,0.41987216738298594,0.41977777516819104,0.4199665752964506,0.41987216738265554,0.41977777516827874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 10:30:00,0.6318429789736405,3.1077573463461174,868.4130163789339,77.12826211220363,590.0415901355121,0.4103193717661597,0.4102262984018658,0.4103193717661595,0.4103193717661684,0.4102262984018455,0.41031937176616856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 10:45:00,0.6314994639975582,3.1868664430997606,868.3010300619236,77.10734075731364,589.7138060632931,0.41182402282602376,0.41173074479879646,0.4118240231701422,0.41182402282947184,0.41173074486940753,0.411824023170566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 11:00:00,0.6272697173712721,3.265669967598007,866.9123980265937,76.84895087314214,585.6714113878871,0.4245796186172536,0.42448455303040467,0.4245796186399814,0.4245796186173253,0.4244845530467137,0.4245796186399342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 11:15:00,0.6192072116787855,3.343665531045952,864.2147685992616,76.35238220096767,577.933771093007,0.4495153327340142,0.4496141884973695,0.4495153322423843,0.4495153322878093,0.44961418849870577,0.4495153326286645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 11:30:00,0.6074114145816558,3.4203911230109822,860.144235234122,75.61618113392751,566.5381827446396,0.488724679821816,0.48883034491484423,0.4887246679982627,0.4887246798486883,0.48883033743877796,0.48872466799839054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26 11:45:00,0.5920221198360867,3.495445213517281,854.6016437635521,74.63795892943364,551.5399849242872,0.5466985163941779,0.5465802931817739,0.6491221177985085,0.5466985162230873,0.5465802931818116,0.6491221177985133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
